"departure_port","Departure_TotalValue","Arrival_TotalValue"
"Adelaide",395.80658436214,NA
"Albury",313.649122807018,NA
"Alice Springs",786.161111111111,604.730769230769
"Armidale",362.3359375,NA
"Avalon",198.214574898785,NA
"Ayers Rock",681.26404494382,NA
"Ballina",184.105882352941,NA
"Brisbane",378.977938517179,341.128865979381
"Broome",661.239766081871,NA
"Bundaberg",360.816568047337,NA
"Cairns",361.337480559876,358.436170212766
"Canberra",319.429824561404,469.544378698225
"Coffs Harbour",228.111764705882,NA
"Darwin",640.033932135728,581.296116504854
"Devonport",406.79012345679,NA
"Dubbo",381.116959064327,NA
"Emerald",NA,424.953216374269
"Geraldton",423.340909090909,NA
"Gladstone",NA,313.906432748538
"Gold Coast",150.122807017544,301.8
"Hamilton Island",441.378881987578,422.556886227545
"Hervey Bay",393.176470588235,NA
"Hobart",221.106194690265,422.669811320755
"Kalgoorlie",526.017543859649,NA
"Karratha",742.865497076023,NA
"Launceston",211.346153846154,NA
"Mackay",NA,224.894736842105
"Melbourne",296.200657894737,322.588647959184
"Mildura",NA,313.035087719298
"Moranbah",NA,531.633333333333
"Mount Isa",NA,858.549707602339
"Newcastle",230.944444444444,185.698507462687
"Newman",NA,740.304093567251
"Paraburdoo",827.355029585799,NA
"Perth",676.520467836257,635.824464409122
"Port Hedland",NA,719.812865497076
"Port Lincoln",NA,314.538011695906
"Port Macquarie",307.715976331361,NA
"Proserpine",334.625,261.470238095238
"Rockhampton",NA,288.625730994152
"Roma",NA,501.1875
"Sunshine Coast",283.924698795181,NA
"Sydney",348.334653465347,324.433098591549
"Tamworth",NA,320.111111111111
"Townsville",NA,342.573426573427
"Wagga Wagga",NA,347.713450292398
