"Year","Month_num","Passenger_Trips"
2010,"Jan",3689908
2010,"Feb",3524434
2010,"Mar",3961659
2010,"Apr",3905597
2010,"May",3698738
2010,"Jun",3693933
2010,"Jul",4117947
2010,"Aug",4000791
2010,"Sep",4100645
2010,"Oct",4309591
2010,"Nov",4106172
2010,"Dec",4200901
2011,"Jan",3934531
2011,"Feb",3514401
2011,"Mar",4037764
2011,"Apr",3995515
2011,"May",3876360
2011,"Jun",3619719
2011,"Jul",4103960
2011,"Aug",3972928
2011,"Sep",3982828
2011,"Oct",4121280
2011,"Nov",4022533
2011,"Dec",4046413
2012,"Jan",3991289
2012,"Feb",3664170
2012,"Mar",4131904
2012,"Apr",4028930
2012,"May",3988785
2012,"Jun",3899089
2012,"Jul",4346541
2012,"Aug",4254675
2012,"Sep",4315386
2012,"Oct",4539656
2012,"Nov",4424934
2012,"Dec",4312068
2013,"Jan",4201938
2013,"Feb",3739833
2013,"Mar",4264124
2013,"Apr",4241250
2013,"May",4079167
2013,"Jun",4031412
2013,"Jul",4591484
2013,"Aug",4393300
2013,"Sep",4334757
2013,"Oct",4715251
2013,"Nov",4403008
2013,"Dec",4532437
2014,"Jan",4414834
2014,"Feb",3855481
2014,"Mar",4343211
2014,"Apr",4337797
2014,"May",4137288
2014,"Jun",4051557
2014,"Jul",4544448
2014,"Aug",4345265
2014,"Sep",4357417
2014,"Oct",4761819
2014,"Nov",4338916
2014,"Dec",4462420
2015,"Jan",4250936
2015,"Feb",3832417
2015,"Mar",4378404
2015,"Apr",4321346
2015,"May",4110969
2015,"Jun",4045162
2015,"Jul",4686230
2015,"Aug",4357865
2015,"Sep",4466968
2015,"Oct",4756507
2015,"Nov",4538117
2015,"Dec",4651787
2016,"Jan",4444139
2016,"Feb",4109247
2016,"Mar",4568852
2016,"Apr",4426706
2016,"May",4269438
2016,"Jun",4200660
2016,"Jul",4728309
2016,"Aug",4441017
2016,"Sep",4616796
2016,"Oct",4776622
2016,"Nov",4621383
2016,"Dec",4710369
2017,"Jan",4568612
2017,"Feb",3994184
2017,"Mar",4573694
2017,"Apr",4499606
2017,"May",4313158
2017,"Jun",4259682
2017,"Jul",4808383
2017,"Aug",4482070
2017,"Sep",4600003
2017,"Oct",4918868
2017,"Nov",4750261
2017,"Dec",4782642
2018,"Jan",4634029
2018,"Feb",4127886
2018,"Mar",4739842
2018,"Apr",4607250
2018,"May",4399463
2018,"Jun",4271175
2018,"Jul",4922211
2018,"Aug",4663784
2018,"Sep",4573217
2018,"Oct",4960326
2018,"Nov",4732701
2018,"Dec",4672826
2019,"Jan",4616846
2019,"Feb",4094168
2019,"Mar",4595826
2019,"Apr",4644046
2019,"May",4399177
2019,"Jun",4238902
2019,"Jul",4906412
2019,"Aug",4663106
2019,"Sep",4663559
2019,"Oct",5087979
2019,"Nov",4762611
2019,"Dec",4777102
2020,"Jan",4637919
2020,"Feb",3949158
2020,"Mar",2749839
2020,"Apr",99217
2020,"May",113894
2020,"Jun",258534
2020,"Jul",534434
2020,"Aug",374557
2020,"Sep",445713
2020,"Oct",626089
2020,"Nov",766749
2020,"Dec",1743101
2021,"Jan",1262713
2021,"Feb",1283787
2021,"Mar",2372827
2021,"Apr",3038745
2021,"May",2869361
2021,"Jun",1871368
2021,"Jul",1006566
2021,"Aug",465399
2021,"Sep",717266
2021,"Oct",769292
2021,"Nov",1185017
2021,"Dec",2167260
2022,"Jan",2157650
2022,"Feb",2061955
2022,"Mar",3084454
2022,"Apr",4060419
2022,"May",3807046
2022,"Jun",3978104
2022,"Jul",4219634
2022,"Aug",3912764
2022,"Sep",4112926
2022,"Oct",4284060
2022,"Nov",4148245
2022,"Dec",4080728
2023,"Jan",4034543
2023,"Feb",3569099
2023,"Mar",4283303
2023,"Apr",4136367
2023,"May",4058242
2023,"Jun",3998623
2023,"Jul",4369117
2023,"Aug",4271782
2023,"Sep",4370758
2023,"Oct",4574418
2023,"Nov",4439440
2023,"Dec",4328909
2024,"Jan",4239615
