"Year","Month_num","Total_ASK"
2010,"Jan",5344370605
2010,"Feb",4859269322
2010,"Mar",5502484630
2010,"Apr",5600137180
2010,"May",5564102906
2010,"Jun",5467095759
2010,"Jul",5918977685
2010,"Aug",5744477007
2010,"Sep",5804321099
2010,"Oct",6006580306
2010,"Nov",5762400281
2010,"Dec",6069403025
2011,"Jan",5980977401
2011,"Feb",5144341830
2011,"Mar",5805554426
2011,"Apr",5777975521
2011,"May",5777758258
2011,"Jun",5381887415
2011,"Jul",5904339190
2011,"Aug",5841092132
2011,"Sep",5719930988
2011,"Oct",5763945346
2011,"Nov",5675764694
2011,"Dec",5930723614
2012,"Jan",5970179676
2012,"Feb",5565093929
2012,"Mar",6072097846
2012,"Apr",6039680209
2012,"May",6063823743
2012,"Jun",5930294687
2012,"Jul",6737975242
2012,"Aug",6614598449
2012,"Sep",6557411569
2012,"Oct",6810568413
2012,"Nov",6455352122
2012,"Dec",6604127687
2013,"Jan",6515195620
2013,"Feb",5763480169
2013,"Mar",6459876781
2013,"Apr",6563211871
2013,"May",6485039378
2013,"Jun",6330189668
2013,"Jul",7002540494
2013,"Aug",6800322411
2013,"Sep",6809568013
2013,"Oct",7084989919
2013,"Nov",6654029278
2013,"Dec",6950718679
2014,"Jan",6932735818
2014,"Feb",5952846795
2014,"Mar",6740174498
2014,"Apr",6899766083
2014,"May",6728993266
2014,"Jun",6550849158
2014,"Jul",7014511008
2014,"Aug",6681776618
2014,"Sep",6783090948
2014,"Oct",7072532680
2014,"Nov",6413819739
2014,"Dec",6853873512
2015,"Jan",6739677971
2015,"Feb",5879201123
2015,"Mar",6647415976
2015,"Apr",6725891960
2015,"May",6551009146
2015,"Jun",6568232118
2015,"Jul",7115993496
2015,"Aug",6809678834
2015,"Sep",6870325130
2015,"Oct",7066267311
2015,"Nov",6642526428
2015,"Dec",7014872481
2016,"Jan",6873662746
2016,"Feb",6291425945
2016,"Mar",6858329924
2016,"Apr",6670829715
2016,"May",6383053372
2016,"Jun",6354685175
2016,"Jul",6997664809
2016,"Aug",6888512147
2016,"Sep",6943496326
2016,"Oct",7029294217
2016,"Nov",6696528222
2016,"Dec",7005150222
2017,"Jan",6860408008
2017,"Feb",5981595892
2017,"Mar",6700218655
2017,"Apr",6598675231
2017,"May",6359572952
2017,"Jun",6351232507
2017,"Jul",6931738046
2017,"Aug",6736072422
2017,"Sep",6712869254
2017,"Oct",6995819692
2017,"Nov",6648162427
2017,"Dec",6942233412
2018,"Jan",6906412298
2018,"Feb",5975616488
2018,"Mar",6715569634
2018,"Apr",6753657486
2018,"May",6499363206
2018,"Jun",6336848670
2018,"Jul",7056296758
2018,"Aug",6708373064
2018,"Sep",6640855614
2018,"Oct",7026181620
2018,"Nov",6505279497
2018,"Dec",6774797243
2019,"Jan",6859071238
2019,"Feb",5925835839
2019,"Mar",6570482856
2019,"Apr",6772492794
2019,"May",6520515986
2019,"Jun",6313989158
2019,"Jul",7100791856
2019,"Aug",6623498628
2019,"Sep",6672618975
2019,"Oct",7017139051
2019,"Nov",6509057989
2019,"Dec",6792575928
2020,"Jan",6636361009
2020,"Feb",5894131140
2020,"Mar",5161551268
2020,"Apr",397826759
2020,"May",316225128
2020,"Jun",486706075
2020,"Jul",954362629
2020,"Aug",836984523
2020,"Sep",955207782
2020,"Oct",1190008219
2020,"Nov",1398504382
2020,"Dec",3026681904
2021,"Jan",2584123470
2021,"Feb",2208124717
2021,"Mar",3979289198
2021,"Apr",4791780621
2021,"May",4829626388
2021,"Jun",3678764330
2021,"Jul",2539148433
2021,"Aug",1342923624
2021,"Sep",1757059418
2021,"Oct",1899669456
2021,"Nov",2286970419
2021,"Dec",3959543940
2022,"Jan",3713247634
2022,"Feb",2941612873
2022,"Mar",4457837363
2022,"Apr",5947307149
2022,"May",5936556221
2022,"Jun",5962401131
2022,"Jul",5976371441
2022,"Aug",5823341113
2022,"Sep",5804541097
2022,"Oct",6051390901
2022,"Nov",5837293500
2022,"Dec",6156358931
2023,"Jan",6312052226
2023,"Feb",5325244378
2023,"Mar",6075290042
2023,"Apr",6219647071
2023,"May",6194481911
2023,"Jun",6045378865
2023,"Jul",6376887241
2023,"Aug",6370307833
2023,"Sep",6379019258
2023,"Oct",6567248192
2023,"Nov",6056096401
2023,"Dec",6236930453
2024,"Jan",6546990464
