"City2","Year","Total_Passenger_Trips"
"Alice Springs",2010,43433
"Alice Springs",2011,0
"Alice Springs",2012,0
"Alice Springs",2013,0
"Alice Springs",2014,0
"Alice Springs",2015,93680
"Alice Springs",2016,120714
"Alice Springs",2017,124466
"Alice Springs",2018,130294
"Alice Springs",2019,144629
"Alice Springs",2020,33665
"Alice Springs",2021,53653
"Alice Springs",2022,84687
"Alice Springs",2023,116520
"Alice Springs",2024,7658
"Ballina",2020,0
"Ballina",2021,63594
"Ballina",2022,66539
"Ballina",2023,0
"Ballina",2024,0
"Brisbane",2010,717098
"Brisbane",2011,679827
"Brisbane",2012,729163
"Brisbane",2013,857113
"Brisbane",2014,935140
"Brisbane",2015,951532
"Brisbane",2016,1003083
"Brisbane",2017,1023507
"Brisbane",2018,1009356
"Brisbane",2019,1028954
"Brisbane",2020,391153
"Brisbane",2021,451446
"Brisbane",2022,713245
"Brisbane",2023,940461
"Brisbane",2024,81275
"Burnie",2010,0
"Burnie",2011,0
"Burnie",2012,0
"Burnie",2013,0
"Burnie",2014,0
"Cairns",2010,1153753
"Cairns",2011,1108017
"Cairns",2012,1187024
"Cairns",2013,1199581
"Cairns",2014,1255826
"Cairns",2015,1306425
"Cairns",2016,1346922
"Cairns",2017,1377900
"Cairns",2018,1320132
"Cairns",2019,1292703
"Cairns",2020,728769
"Cairns",2021,1062146
"Cairns",2022,1221147
"Cairns",2023,1378849
"Cairns",2024,90329
"Canberra",2010,805414
"Canberra",2011,807994
"Canberra",2012,780328
"Canberra",2013,765172
"Canberra",2014,736419
"Canberra",2015,728233
"Canberra",2016,750179
"Canberra",2017,775834
"Canberra",2018,838513
"Canberra",2019,855556
"Canberra",2020,302985
"Canberra",2021,373073
"Canberra",2022,734330
"Canberra",2023,823835
"Canberra",2024,54027
"Darwin",2010,367202
"Darwin",2011,366183
"Darwin",2012,367002
"Darwin",2013,375871
"Darwin",2014,391467
"Darwin",2015,496554
"Darwin",2016,524077
"Darwin",2017,524955
"Darwin",2018,486169
"Darwin",2019,464514
"Darwin",2020,163781
"Darwin",2021,300667
"Darwin",2022,328808
"Darwin",2023,510411
"Darwin",2024,23717
"Emerald",2012,264338
"Emerald",2013,283433
"Emerald",2014,249059
"Emerald",2015,212385
"Emerald",2016,198865
"Emerald",2017,197570
"Emerald",2018,195239
