"Year","Month","TotalValue"
2010,"Jan",331.375
2010,"Feb",381.013888888889
2010,"Mar",387.027777777778
2010,"Apr",328.569444444444
2010,"May",348.861111111111
2010,"Jun",390.375
2010,"Jul",372.444444444444
2010,"Aug",369.583333333333
2010,"Sep",421.444444444444
2010,"Oct",365.416666666667
2010,"Nov",351.25
2010,"Dec",435.319444444444
2011,"Jan",326.486111111111
2011,"Feb",352.083333333333
2011,"Mar",375.972222222222
2011,"Apr",408.027777777778
2011,"May",366.513888888889
2011,"Jun",411.760563380282
2011,"Jul",405.802816901408
2011,"Aug",406.12676056338
2011,"Sep",496.225352112676
2011,"Oct",443
2011,"Nov",421.619718309859
2011,"Dec",503.338028169014
2012,"Jan",363.830985915493
2012,"Feb",395.112676056338
2012,"Mar",418.014084507042
2012,"Apr",340.814285714286
2012,"May",366.471428571429
2012,"Jun",434.371428571429
2012,"Jul",365.342857142857
2012,"Aug",396.914285714286
2012,"Sep",427.071428571429
2012,"Oct",390.985714285714
2012,"Nov",381
2012,"Dec",501.457142857143
2013,"Jan",349.014285714286
2013,"Feb",377.742857142857
2013,"Mar",414.471428571429
2013,"Apr",365.661971830986
2013,"May",346.028169014084
2013,"Jun",390.830985915493
2013,"Jul",362.197183098592
2013,"Aug",359.87323943662
2013,"Sep",434.830985915493
2013,"Oct",357.535211267606
2013,"Nov",363.732394366197
2013,"Dec",438.295774647887
2014,"Jan",346.87323943662
2014,"Feb",365.478873239437
2014,"Mar",371.43661971831
2014,"Apr",403.2
2014,"May",314.271428571429
2014,"Jun",363.542857142857
2014,"Jul",368.285714285714
2014,"Aug",360.5
2014,"Sep",396.157142857143
2014,"Oct",383.842857142857
2014,"Nov",388.357142857143
2014,"Dec",419.742857142857
2015,"Jan",382.357142857143
2015,"Feb",404.642857142857
2015,"Mar",410.157142857143
2015,"Apr",360.428571428571
2015,"May",381.442857142857
2015,"Jun",408.271428571429
2015,"Jul",400.271428571429
2015,"Aug",390.971428571429
2015,"Sep",430.442857142857
2015,"Oct",397.757142857143
2015,"Nov",391.314285714286
2015,"Dec",373.4
2016,"Jan",352.785714285714
2016,"Feb",379.885714285714
2016,"Mar",354.157142857143
2016,"Apr",374.485714285714
2016,"May",356.242857142857
2016,"Jun",383.442857142857
2016,"Jul",379.357142857143
2016,"Aug",367.257142857143
2016,"Sep",428.314285714286
2016,"Oct",389.714285714286
2016,"Nov",383.428571428571
2016,"Dec",435.585714285714
2017,"Jan",365.271428571429
2017,"Feb",379.471428571429
2017,"Mar",461.657142857143
2017,"Apr",372.457142857143
2017,"May",381.671428571429
2017,"Jun",384.042857142857
2017,"Jul",388.585714285714
2017,"Aug",376.542857142857
2017,"Sep",432.914285714286
2017,"Oct",392.585714285714
2017,"Nov",395.685714285714
2017,"Dec",462.114285714286
2018,"Jan",378.2
2018,"Feb",399.685714285714
2018,"Mar",453.885714285714
2018,"Apr",387.671428571429
2018,"May",391.928571428571
2018,"Jun",441.228571428571
2018,"Jul",418.471428571429
2018,"Aug",394.057142857143
2018,"Sep",447.142857142857
2018,"Oct",420
2018,"Nov",406.614285714286
2018,"Dec",495.171428571429
2019,"Jan",380.314285714286
2019,"Feb",361.742857142857
2019,"Mar",385.828571428571
2019,"Apr",429.714285714286
2019,"May",360.157142857143
2019,"Jun",400.442857142857
2019,"Jul",399.757142857143
2019,"Aug",371.2
2019,"Sep",409.585714285714
2019,"Oct",376.571428571429
2019,"Nov",377.557142857143
2019,"Dec",473.485714285714
2020,"Jan",354.4
2020,"Feb",369.1
2020,"Mar",473.128571428571
2020,"Apr",480.257142857143
2020,"May",455.486486486487
2020,"Jun",464.105263157895
2020,"Jul",408.555555555556
2020,"Aug",434.963636363636
2020,"Sep",429.915254237288
2020,"Oct",401.602941176471
2020,"Nov",420.796875
2020,"Dec",434.9
2021,"Jan",360.885714285714
2021,"Feb",357.571428571429
2021,"Mar",391.071428571429
2021,"Apr",366.214285714286
2021,"May",396.342857142857
2021,"Jun",404.5
2021,"Jul",336.028571428571
2021,"Aug",348.292307692308
2021,"Sep",372.677419354839
2021,"Oct",337.546875
2021,"Nov",333.015384615385
2021,"Dec",333.057142857143
2022,"Jan",303.2
2022,"Feb",321.9
2022,"Mar",408.857142857143
2022,"Apr",300.214285714286
2022,"May",355.242857142857
2022,"Jun",392.328571428571
2022,"Jul",409.514285714286
2022,"Aug",432.442857142857
2022,"Sep",556.242857142857
2022,"Oct",477.957142857143
2022,"Nov",513.571428571429
2022,"Dec",588.242857142857
2023,"Jan",407.657142857143
2023,"Feb",410.385714285714
2023,"Mar",423.257142857143
2023,"Apr",378.571428571429
2023,"May",393.1
2023,"Jun",427.685714285714
2023,"Jul",404.342857142857
2023,"Aug",398.585714285714
2023,"Sep",425.642857142857
2023,"Oct",402.657142857143
2023,"Nov",450.913043478261
2023,"Dec",498.4
2024,"Jan",383.671428571429
2024,"Feb",394.642857142857
2024,"Mar",466.014285714286
