"City1","Year","Total_Passenger_Trips"
"Adelaide",2010,6024409
"Adelaide",2011,5715912
"Adelaide",2012,5739700
"Adelaide",2013,5895737
"Adelaide",2014,6060520
"Adelaide",2015,6215047
"Adelaide",2016,6408502
"Adelaide",2017,6510204
"Adelaide",2018,6602083
"Adelaide",2019,6676439
"Adelaide",2020,1933613
"Adelaide",2021,2473366
"Adelaide",2022,5322931
"Adelaide",2023,6568525
"Adelaide",2024,535301
"Albury",2010,248589
"Albury",2011,241922
"Albury",2012,247285
"Albury",2013,234609
"Albury",2014,225418
"Albury",2015,216965
"Albury",2016,225142
"Albury",2017,224025
"Albury",2018,226340
"Albury",2019,230149
"Albury",2020,40351
"Albury",2021,50040
"Albury",2022,137155
"Albury",2023,165706
"Albury",2024,10938
"Alice Springs",2010,143712
"Alice Springs",2011,69500
"Alice Springs",2012,0
"Alice Springs",2013,189717
"Alice Springs",2014,162756
"Alice Springs",2015,100350
"Alice Springs",2016,116389
"Alice Springs",2017,118772
"Alice Springs",2018,109707
"Alice Springs",2019,109700
"Alice Springs",2020,4726
"Alice Springs",2021,0
"Alice Springs",2022,0
"Alice Springs",2023,0
"Alice Springs",2024,0
"Armidale",2014,85319
"Armidale",2015,124509
"Armidale",2016,127655
"Armidale",2017,126175
"Armidale",2018,121795
"Armidale",2019,124966
"Armidale",2020,22472
"Armidale",2021,0
"Armidale",2022,77601
"Armidale",2023,88766
"Armidale",2024,0
"Ayers Rock",2010,52572
"Ayers Rock",2011,150296
"Ayers Rock",2012,153528
"Ayers Rock",2013,131857
"Ayers Rock",2014,144532
"Ayers Rock",2015,159449
"Ayers Rock",2016,184097
"Ayers Rock",2017,191479
"Ayers Rock",2018,194751
"Ayers Rock",2019,196164
"Ayers Rock",2020,29289
"Ayers Rock",2021,0
"Ayers Rock",2022,0
"Ayers Rock",2023,0
"Ayers Rock",2024,0
"Ballina",2010,267622
"Ballina",2011,262922
"Ballina",2012,280657
"Ballina",2013,315800
"Ballina",2014,320266
"Ballina",2015,358444
"Ballina",2016,385205
"Ballina",2017,403943
"Ballina",2018,435956
"Ballina",2019,433277
"Ballina",2020,354109
"Ballina",2021,408726
"Ballina",2022,504458
"Ballina",2023,534646
"Ballina",2024,44633
"Brisbane",2010,13656060
"Brisbane",2011,14121090
"Brisbane",2012,15007651
"Brisbane",2013,15318617
"Brisbane",2014,15501391
"Brisbane",2015,15344803
"Brisbane",2016,15608805
"Brisbane",2017,15700785
"Brisbane",2018,15709259
"Brisbane",2019,15857030
"Brisbane",2020,5568184
"Brisbane",2021,6701673
"Brisbane",2022,13005493
"Brisbane",2023,14914498
"Brisbane",2024,1143758
"Broome",2010,326310
"Broome",2011,309985
"Broome",2012,324319
"Broome",2013,319089
"Broome",2014,300328
"Broome",2015,302860
"Broome",2016,295172
"Broome",2017,313383
"Broome",2018,338850
"Broome",2019,328804
"Broome",2020,224494
"Broome",2021,375625
"Broome",2022,366210
"Broome",2023,363763
"Broome",2024,22222
"Bundaberg",2013,109624
"Bundaberg",2014,158490
"Bundaberg",2015,158722
"Bundaberg",2016,172748
"Bundaberg",2017,173864
"Bundaberg",2018,162840
"Bundaberg",2019,153648
"Bundaberg",2020,30795
"Bundaberg",2021,0
"Bundaberg",2022,0
"Bundaberg",2023,121277
"Bundaberg",2024,8832
"Cairns",2010,1506380
"Cairns",2011,1587936
"Cairns",2012,1695329
"Cairns",2013,1819614
"Cairns",2014,1722850
"Cairns",2015,1874945
"Cairns",2016,2077881
"Cairns",2017,2112450
"Cairns",2018,2136564
"Cairns",2019,2077169
"Cairns",2020,432742
"Cairns",2021,617695
"Cairns",2022,1736427
"Cairns",2023,1690495
"Cairns",2024,147446
"Canberra",2010,2234271
"Canberra",2011,2134268
"Canberra",2012,2056304
"Canberra",2013,2022123
"Canberra",2014,1940449
"Canberra",2015,1931576
"Canberra",2016,1985478
"Canberra",2017,2082132
"Canberra",2018,2128524
"Canberra",2019,2116124
"Canberra",2020,440888
"Canberra",2021,484051
"Canberra",2022,1530912
"Canberra",2023,1775741
"Canberra",2024,123577
"Coffs Harbour",2010,307845
"Coffs Harbour",2011,308061
"Coffs Harbour",2012,320162
"Coffs Harbour",2013,367994
"Coffs Harbour",2014,344396
"Coffs Harbour",2015,335091
"Coffs Harbour",2016,338999
"Coffs Harbour",2017,347191
"Coffs Harbour",2018,339843
"Coffs Harbour",2019,326518
"Coffs Harbour",2020,86727
"Coffs Harbour",2021,102159
"Coffs Harbour",2022,208757
"Coffs Harbour",2023,213796
"Coffs Harbour",2024,15579
"Darwin",2010,437059
"Darwin",2011,451080
"Darwin",2012,708960
"Darwin",2013,804363
"Darwin",2014,793716
"Darwin",2015,783878
"Darwin",2016,804117
"Darwin",2017,826346
"Darwin",2018,812301
"Darwin",2019,794591
"Darwin",2020,138861
"Darwin",2021,181038
"Darwin",2022,619341
"Darwin",2023,471469
"Darwin",2024,33403
"Devonport",2010,0
"Devonport",2011,0
"Devonport",2012,0
"Devonport",2013,0
"Devonport",2014,0
"Devonport",2022,20815
"Devonport",2023,121238
"Devonport",2024,9135
"Dubbo",2010,181431
"Dubbo",2011,173636
"Dubbo",2012,174276
"Dubbo",2013,182422
"Dubbo",2014,196817
"Dubbo",2015,186999
"Dubbo",2016,188196
"Dubbo",2017,190801
"Dubbo",2018,188748
"Dubbo",2019,182037
"Dubbo",2020,35434
"Dubbo",2021,50597
"Dubbo",2022,141634
"Dubbo",2023,177700
"Dubbo",2024,11357
"Geraldton",2011,10638
"Geraldton",2012,139534
"Geraldton",2013,130376
"Geraldton",2014,128400
"Geraldton",2015,117472
"Geraldton",2016,117612
"Geraldton",2017,111936
"Geraldton",2018,112998
"Geraldton",2019,61557
"Geraldton",2020,0
"Geraldton",2021,0
"Geraldton",2022,0
"Geraldton",2023,17624
"Geraldton",2024,7752
"Gold Coast",2010,2405005
"Gold Coast",2011,2244822
"Gold Coast",2012,2440618
"Gold Coast",2013,2559125
"Gold Coast",2014,2595167
"Gold Coast",2015,2618482
"Gold Coast",2016,2704358
"Gold Coast",2017,2740745
"Gold Coast",2018,2722796
"Gold Coast",2019,2733109
"Gold Coast",2020,706514
"Gold Coast",2021,741817
"Gold Coast",2022,2298514
"Gold Coast",2023,2436619
"Gold Coast",2024,239183
"Hamilton Island",2010,183318
"Hamilton Island",2011,180757
"Hamilton Island",2012,200648
"Hamilton Island",2013,253745
"Hamilton Island",2014,327145
"Hamilton Island",2015,333822
"Hamilton Island",2016,376049
"Hamilton Island",2017,223981
"Hamilton Island",2018,204673
